Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
25-34,Government and Public Administration,Economist,109000.0,3000.0,USD,USA,Maryland,5-7 years,5-7 years,Master's degree,Female,White
45-54,Education (Higher Education),Associate professor,54000.0,0.0,GBP,England,Outside of the US,21 - 30 years,21 - 30 years,PhD,Female,White
45-54,Media & Digital,editor,120000.0,0.0,USD,USA,Georgia,21 - 30 years,21 - 30 years,Master's degree,Female,Black or African American
25-34,Education (Higher Education),HR Adviser,40613.0,0.0,GBP,England,Outside of the US,8 - 10 years,5-7 years,College degree,Female,White
35-44,Public library,Managing Librarian,70000.0,2400.0,USD,USA,New York,11 - 20 years,5-7 years,Master's degree,Female,White
35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000.0,2500.0,USD,USA,Maryland,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Government and Public Administration,Office Administrator,58000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,5-7 years,Some college,Female,White
18-24,"Accounting, Banking & Finance",Accountant ,45000.0,0.0,USD,USA,Indiana,1 year or less,1 year or less,College degree,Female,White
35-44,Government and Public Administration,Senior Director of Public Policy,70000.0,5000.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Recruitment or HR,Talent Management Manager,115000.0,0.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Male,White
25-34,Transport or Logistics,Internal Communications Executive ,32640.0,0.0,EUR,Ireland,Outside of the US,2 - 4 years,2 - 4 years,Master's degree,Female,White
35-44,Agriculture or Forestry,Research assistant,17000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,5-7 years,Master's degree,Non-binary,White
55-64,Property or Construction,Accounting Manager,66000.0,0.0,USD,USA,Texas,31 - 40 years,21 - 30 years,College degree,Female,White
45-54,Engineering or Manufacturing,Quality Manager ,80000.0,4000.0,USD,USA,Pennsylvania,21 - 30 years,11 - 20 years,College degree,Female,White
18-24,Law,Attorney,65000.0,5000.0,USD,USA,Minnesota,2 - 4 years,2 - 4 years,Master's degree,Female,White
65 or over,Health care,RN,110000.0,10000.0,USD,USA,Wisconsin,41 years or more,31 - 40 years,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,114400.0,0.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300.0,0.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Software Engineer,156000.0,189000.0,USD,USA,Massachusetts,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
45-54,Computing or Tech,Agile Coach,130000.0,13000.0,USD,USA,Minnesota,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Education (Higher Education),Librarian ,39000.0,0.0,GBP,England,Outside of the US,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Computing or Tech,principle product marketing manager,126000.0,15000.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Engineering or Manufacturing,Sr. Environmental Manager,125000.0,3500.0,USD,USA,Pennsylvania,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Nonprofits,Program Manager,87000.0,0.0,CAD,Canada,Outside of the US,2 - 4 years,2 - 4 years,PhD,Female,Another option not listed here or prefer not to answer
35-44,Nonprofits,Early Intervention developmental specialist,36000.0,1000.0,USD,USA,Massachusetts,11 - 20 years,2 - 4 years,Master's degree,Male,White
25-34,Nonprofits,Grants coordinator,55000.0,0.0,USD,USA,New York,8 - 10 years,2 - 4 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Account Executive,53500.0,0.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Nonprofits,Associate Director of Annual Giving,50000.0,0.0,USD,USA,Georgia,8 - 10 years,5-7 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Cash Logistics Manager,57750.0,5750.0,USD,USA,Texas,11 - 20 years,2 - 4 years,Master's degree,Female,White
25-34,Nonprofits,Legislative Analyst,65000.0,0.0,USD,USA,California,8 - 10 years,5-7 years,College degree,Female,White
25-34,Transport or Logistics,Technology Senior Business Analyst,103000.0,2000.0,USD,USA,Texas,5-7 years,5-7 years,College degree,Female,White
45-54,Education (Primary/Secondary),Principal Teacher,51000.0,0.0,GBP,England,Outside of the US,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,Nonprofits,Senior Marketing Specialist,65000.0,2700.0,USD,USA,Washington,8 - 10 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Assistant Archivist,25000.0,1000.0,GBP,Scotland,Outside of the US,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Government and Public Administration,Strategic Advisor,93000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Education (Primary/Secondary),High School counselor ,75000.0,0.0,USD,USA,Georgia,21 - 30 years,11 - 20 years,Master's degree,Female,White
35-44,Nonprofits,Service Manager ,34500.0,0.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,White
18-24,"Marketing, Advertising & PR",Developer,72500.0,3000.0,USD,USA,Illinois,5-7 years,1 year or less,College degree,Female,White
35-44,Agriculture or Forestry,"Group Leader, Crop Protection Environmental and Human Safety",86000.0,1500.0,USD,USA,North Carolina,11 - 20 years,5-7 years,College degree,Female,White
25-34,Property or Construction,Energy Specialist,75000.0,5000.0,USD,USA,Missouri,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Social Work,Medical Social Worker,63000.0,0.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Public Library,Children's Librarian,39000.0,0.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Higher Education),Payroll Manager,105000.0,0.0,USD,USA,Connecticut,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Computing or Tech,Senior user experience researcher,179000.0,130000.0,USD,USA,New York,11 - 20 years,8 - 10 years,PhD,Female,White
35-44,"Marketing, Advertising & PR",Freelance content writer/copy editor,77000.0,0.0,USD,USA,Connecticut,21 - 30 years,5-7 years,College degree,Female,White
35-44,Media & Digital,Production Editor ,55000.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Computing or Tech,Salesforce Administrator ,64200.0,3000.0,USD,USA,Wisconsin,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer,White
25-34,Engineering or Manufacturing,Engineer,92000.0,2000.0,USD,USA,Texas,5-7 years,5-7 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
55-64,Government and Public Administration,Assistant General Counsel,170000.0,3000.0,USD,USA,District of Columbia,21 - 30 years,21 - 30 years,Master's degree,Female,White
25-34,Health care,Pharmacist,125000.0,500.0,USD,USA,Pennsylvania,5-7 years,5-7 years,PhD,Female,White
25-34,Computing or Tech,Technical Associate,60000.0,6000.0,CAD,Canada,Outside of the US,1 year or less,1 year or less,College degree,Female,White
55-64,"Accounting, Banking & Finance","IT Director, Project Management ",186000.0,0.0,USD,USA,New Jersey,31 - 40 years,31 - 40 years,College degree,Male,White
35-44,Sales,Administrative Assistant,49000.0,0.0,CAD,Canada,Outside of the US,21 - 30 years,11 - 20 years,Some college,Female,White
25-34,"Accounting, Banking & Finance",Staff Accountant,61800.0,1000.0,USD,USA,Ohio,8 - 10 years,5-7 years,College degree,Male,White
25-34,"Accounting, Banking & Finance","SVP, risk management",155000.0,31000.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,College degree,Female,Asian or Asian American
35-44,Art & Design,Product Coordinator,40000.0,200.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Education (Higher Education),Statistical Analyst,71750.0,0.0,USD,USA,Pennsylvania,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Computing or Tech,Program Manager,157000.0,0.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,"""Government Relations"" (Lobbying) ",Assistant ,65000.0,0.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,White
25-34,Nonprofits,Senior research assistant,42120.0,0.0,USD,USA,New Jersey,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Business or Consulting,Research Associate,65000.0,5000.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,Master's degree,Female,White
35-44,Computing or Tech,Junior Project Manager,86000.0,3000.0,USD,USA,Colorado,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Computing or Tech,Business Analyst,85000.0,7000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Computing or Tech,Software Development Project Manager,104000.0,0.0,USD,USA,Louisiana,21 - 30 years,21 - 30 years,Master's degree,Female,White
45-54,Computing or Tech,Human Resources Manager,88000.0,8800.0,USD,USA,Minnesota,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Computing or Tech,Programmer Analyst 2,65000.0,3000.0,USD,USA,Missouri,8 - 10 years,8 - 10 years,College degree,Female,White
45-54,Computing or Tech,Sr development Manager,175000.0,175000.0,USD,USA,Colorado,21 - 30 years,11 - 20 years,College degree,Male,White
25-34,Business or Consulting,Consultant,134000.0,3000.0,USD,USA,Oregon,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Hospitality & Events,Controller,98500.0,10000.0,USD,USA,Florida,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Computing or Tech,Software Engineer,112000.0,0.0,USD,USA,Florida,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Health care,Speech-Language Pathologist,60000.0,0.0,USD,USA,Ohio,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Government and Public Administration,Lead Planner,57000.0,0.0,USD,USA,Texas,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Internal Auditor ,51000.0,1500.0,USD,USA,Kentucky,5-7 years,5-7 years,College degree,Female,White
25-34,Education (Higher Education),Assistant Professor,56000.0,8000.0,USD,USA,Wisconsin,2 - 4 years,5-7 years,PhD,Female,White
18-24,Nonprofits,Program Coordinator,39000.0,0.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Billing & Accounts Receivable Coordinator ,40000.0,2000.0,USD,USA,Ohio,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Law,Paralegal,71500.0,1500.0,CAD,Canada,Outside of the US,8 - 10 years,5-7 years,College degree,Female,White
45-54,Software as a Service SaaS,"Director, Learning Content & Training",68000.0,1000.0,USD,USA,District of Columbia,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Branch Manager,65000.0,3000.0,USD,USA,Texas,11 - 20 years,11 - 20 years,Some college,Female,White
25-34,Public health in higher education,Program Manager,67000.0,9000.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Government and Public Administration,program analyst,126000.0,1000.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Business or Consulting,Planning analyst,75000.0,30000.0,USD,USA,Florida,5-7 years,5-7 years,Master's degree,Female,White
45-54,Health care,Clinical Pharmacist ,146000.0,0.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,PhD,Female,White
25-34,Engineering or Manufacturing,Senior Engineer,100000.0,2500.0,USD,USA,Colorado,8 - 10 years,8 - 10 years,PhD,Female,White
35-44,Property or Construction,Project Manager,52000.0,6000.0,USD,USA,South Carolina,11 - 20 years,5-7 years,High School,Female,White
25-34,"Accounting, Banking & Finance",Senior Associate,135000.0,5000.0,USD,USA,District of Columbia,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Technical Project Manager,131000.0,14000.0,USD,USA,California,8 - 10 years,5-7 years,College degree,Female,White
45-54,Media & Digital,Special Projects Manager,64000.0,2000.0,USD,USA,New York,21 - 30 years,5-7 years,Master's degree,Female,White
18-24,Law Enforcement & Security,Library Assistant,49000.0,1000.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Manufacturing and distributing,Customer Support Representative ,38800.0,0.0,USD,USA,Texas,11 - 20 years,2 - 4 years,College degree,Female,White
35-44,"Leisure, Sport & Tourism",Administrator,31000.0,0.0,EUR,Ireland,Outside of the US,21 - 30 years,11 - 20 years,Some college,Female,White
25-34,Nonprofits,Financial Administrator,50000.0,0.0,USD,USA,Colorado,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Retail,Customer Experience Manager ,31500.0,0.0,USD,USA,California,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Sales,Technical Sales Manager,80000.0,8000.0,USD,USA,New Hampshire,11 - 20 years,5-7 years,College degree,Female,White
45-54,Law,Equity Partner,600000.0,0.0,USD,USA,Pennsylvania,21 - 30 years,21 - 30 years,PhD,Female,White
25-34,Business or Consulting,Management Consultant,105000.0,16000.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Male,"Hispanic, Latino, or Spanish origin"
35-44,Law,Counsel,120000.0,5000.0,USD,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
35-44,Sales,Client Service Manager,90000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Female,"Asian or Asian American, White"
35-44,Computing or Tech,Sales,65000.0,35000.0,USD,USA,Illinois,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,Utilities & Telecommunications,Technical Services Team Lead,60000.0,4000.0,USD,USA,Maryland,11 - 20 years,2 - 4 years,College degree,Female,Another option not listed here or prefer not to answer
25-34,Computing or Tech,Data analyst,885000.0,0.0,Other,India,Outside of the US,2 - 4 years,2 - 4 years,Master's degree,Female,Asian or Asian American
25-34,Computing or Tech,Proposal Manager,180000.0,20000.0,USD,USA,North Carolina,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Computing or Tech,Business Architect,157029.0,31405.0,USD,USA,California,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Senior Digital Content Manager,82000.0,10000.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Engineering or Manufacturing,HR Manager,83500.0,500.0,USD,USA,South Carolina,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Computing or Tech,Director of Operations,85000.0,0.0,GBP,England,Outside of the US,11 - 20 years,5-7 years,College degree,Female,White
25-34,Nonprofits,Director of Engagement and Annual Giving,107500.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Government and Public Administration,Assistant Deputy Director,155000.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,Master's degree,Female,Another option not listed here or prefer not to answer
25-34,Utilities & Telecommunications,QA Analyst IT,65000.0,3000.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,Black or African American
25-34,Education (Higher Education),Assistant Fabrication Manager,34000.0,0.0,USD,USA,Virginia,8 - 10 years,5-7 years,College degree,Non-binary,White
35-44,"Marketing, Advertising & PR",Brand Manager,140000.0,20000.0,USD,USA,California,11 - 20 years,21 - 30 years,Some college,Female,Another option not listed here or prefer not to answer
25-34,Government and Public Administration,Records Management Analyst,55000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,1 year or less,College degree,Female,White
25-34,Computing or Tech,Product Manager,201000.0,80000.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Male,White
25-34,Computing or Tech,Customer Success Manager,115000.0,28000.0,USD,USA,Colorado,11 - 20 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Software Engineer,80000.0,3000.0,USD,USA,Minnesota,1 year or less,1 year or less,Some college,Non-binary,White
